Date,Open,Close,High,Low,Adj Close,Volume
2016/10/19,267.380005,263.890015,268.690002,261.980011,260.389008,622900
2016/10/20,263.890015,264.5,265.549988,262,260.990875,840700
2016/10/21,263.369995,263.529999,264.98999,261,260.033752,443100
2016/10/24,267.980011,267.179993,268.359985,265,263.635345,928600
2016/10/25,268.130005,269.600006,270.440002,265.670013,266.023254,977000
2016/10/26,268.26001,265.73999,268.26001,265.209991,262.214447,607500
2016/10/27,268.220001,267.049988,271.660004,263.269989,263.50708,1029500
2016/10/28,267,264.970001,267.049988,263.209991,261.454681,710300
2016/10/31,265.480011,256.98999,268.980011,256.859985,253.580521,1121700
2016/11/1,259,249.029999,259.890015,246.639999,245.726135,2587600
2016/11/2,248.770004,242.940002,249,241.029999,239.716934,1665100
2016/11/3,243.119995,243.419998,246.149994,237.660004,240.190567,908400
2016/11/4,240.399994,243.429993,245.880005,240.199997,240.200424,696300
2016/11/7,251.429993,251.179993,256,250.029999,247.84761,1210700
2016/11/8,251,248.960007,251.899994,247,245.657074,876200
2016/11/9,241.449997,251.860001,255.699997,240.660004,248.518585,1610800
2016/11/10,239.759995,228.619995,252.100006,224.710007,225.586899,4629000
2016/11/11,229.009995,234.570007,235.880005,218,231.457977,2839200
2016/11/14,234.270004,217.910004,235.610001,216.389999,215.019012,1964500
2016/11/15,227.610001,228.100006,232.899994,225.559998,225.073837,1717400
2016/11/16,226.309998,230.130005,231.979996,223.830002,227.076904,862100
2016/11/17,230.130005,236.830002,237.139999,229.610001,233.688004,954100
2016/11/18,237.039993,230.809998,239.619995,229.860001,227.747849,761200
2016/11/21,231.110001,234.160004,237.240005,231.070007,231.053421,780400
2016/11/22,235.110001,231.820007,236.910004,231.020004,229.508972,796600
2016/11/23,231.270004,231.580002,233.699997,229.139999,229.271362,875400
2016/11/25,233.080002,227.089996,233.880005,223.190002,224.826126,1161200
2016/11/28,230.490005,231.779999,235.979996,228.630005,229.46936,1720200
2016/11/29,231.160004,230.039993,233.360001,227.169998,227.746719,1015200
2016/11/30,230.699997,224.100006,234.699997,223.860001,221.865952,1073900
2016/12/1,225.110001,217.820007,225.839996,215.009995,215.648544,1212200
2016/12/2,217.570007,220.589996,221.580002,215.669998,218.390915,834800
2016/12/5,217,226.169998,226.880005,216.949997,223.915283,849500
2016/12/6,226.600006,222.649994,226.600006,219.059998,220.430389,853500
2016/12/7,222.770004,223.160004,224.880005,218.619995,220.935303,1130700
2016/12/8,222.699997,225.210007,227.389999,220.330002,222.96489,928700
2016/12/9,225.899994,223.550003,227.419998,221.759995,221.321411,590700
2016/12/12,219,218.580002,219.679993,211.440002,216.400955,1697000
2016/12/13,218.580002,220.460007,226.100006,216.600006,218.262222,992100
2016/12/14,219.360001,217.490005,223.020004,216.830002,215.321838,995500
2016/12/15,215.009995,213.330002,218.350006,212.399994,211.203293,860300
2016/12/16,213.990005,213.050003,218.5,212.630005,210.926102,1141500
2016/12/19,213.210007,216.770004,218.029999,211.110001,214.609009,1025600
2016/12/20,217,216.899994,218.970001,215.470001,214.737701,454500
2016/12/21,217.470001,223.119995,226.240005,216.770004,220.895691,1283100
